
                                Name                                           Version             Type   
────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Apache Commons Daemon Service Runner                              1.2.2.0                        nuget  
  acl                                                               2.3.1-4.el9                    rpm    
  alternatives                                                      1.24-1.el9                     rpm    
  annotations                                                       13.0                           maven  
  attr                                                              2.5.1-3.el9                    rpm    
  audit                                                             3.1.2-2.el9                    rpm    
  audit-libs                                                        3.1.2-2.el9                    rpm    
  basesystem                                                        11-13.el9                      rpm    
  bash                                                              5.1.8-9.el9                    rpm    
  boot-proxy                                                        0.0.0                          maven  
  bootstrap-agent                                                   1.0.88.cl240420240408-2000     maven  
  brotli                                                            1.0.9-6.el9                    rpm    
  bzip2                                                             1.0.8-8.el9                    rpm    
  bzip2-libs                                                        1.0.8-8.el9                    rpm    
  ca-certificates                                                   2023.2.60_v7.0.306-90.1.el9_2  rpm    
  chkconfig                                                         1.24-1.el9                     rpm    
  com.ibm.json4j                                                    1.0.88.cl240420240408-2000     maven  
  com.ibm.rls.jdbc.jakarta                                          1.0.88.cl240420240408-2000     maven  
  com.ibm.tx.jta.jakarta                                            1.0.88.cl240420240408-2000     maven  
  com.ibm.tx.util.jakarta                                           1.0.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.api.basics                            1.4.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.api.config                            1.2.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.api.distributedMap                    2.0.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.api.endpoint                          1.0.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.api.hpel                              2.0.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.api.json                              1.0.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.api.kernel.service                    1.1.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.api.monitor                           1.1.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.api.security.spnego                   1.1.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.api.sessionstats                      1.0.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.api.ssl                               1.6.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.spi.anno                              1.1.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.spi.application                       1.1.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.spi.artifact                          1.2.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.spi.classloading                      1.4.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.spi.containerServices                 4.0.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.spi.httptransport                     4.2.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.spi.javaeedd                          1.8.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.spi.kernel.embeddable                 1.1.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.spi.kernel.filemonitor                1.0.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.spi.kernel.metatype                   1.0.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.spi.kernel.service                    1.8.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.spi.logging                           1.1.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.spi.ssl                               1.5.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.spi.threading                         1.1.88.cl240420240408-2000     maven  
  com.ibm.websphere.appserver.spi.transaction                       1.1.88.cl240420240408-2000     maven  
  com.ibm.websphere.javaee.activity.1.0                             1.0.88.cl240420240408-2000     maven  
